time,total
Fri Dec 16 10:12:09 EST 2016,0m7.337s
Fri Dec 16 10:27:08 EST 2016,0m7.417s
Fri Dec 16 10:34:08 EST 2016,0m7.192s
Fri Dec 16 10:46:09 EST 2016,0m7.383s
Fri Dec 16 10:58:08 EST 2016,0m7.494s
Fri Dec 16 11:04:09 EST 2016,0m7.200s
Fri Dec 16 11:12:08 EST 2016,0m7.246s
Fri Dec 16 11:27:08 EST 2016,0m7.413s
Fri Dec 16 11:34:09 EST 2016,0m7.310s
Fri Dec 16 11:46:08 EST 2016,0m7.284s
Fri Dec 16 11:58:08 EST 2016,0m7.203s
Fri Dec 16 12:04:09 EST 2016,0m7.224s
Fri Dec 16 12:12:08 EST 2016,0m7.233s
Fri Dec 16 12:27:08 EST 2016,0m7.250s
Fri Dec 16 12:34:08 EST 2016,0m7.230s
Fri Dec 16 12:46:08 EST 2016,0m7.503s
Fri Dec 16 12:58:08 EST 2016,0m7.311s
Fri Dec 16 13:04:09 EST 2016,0m7.527s
Fri Dec 16 13:12:08 EST 2016,0m7.237s
Fri Dec 16 13:27:09 EST 2016,0m7.497s
Fri Dec 16 13:34:08 EST 2016,0m7.336s
Fri Dec 16 13:46:08 EST 2016,0m7.227s
Fri Dec 16 13:58:09 EST 2016,0m7.338s
Fri Dec 16 14:04:08 EST 2016,0m7.293s
Fri Dec 16 14:12:09 EST 2016,0m7.651s
Fri Dec 16 14:27:08 EST 2016,0m7.439s
Fri Dec 16 14:34:09 EST 2016,0m7.353s
Fri Dec 16 14:46:08 EST 2016,0m7.245s
Fri Dec 16 14:58:09 EST 2016,0m7.485s
Fri Dec 16 15:04:08 EST 2016,0m7.378s
Fri Dec 16 15:12:11 EST 2016,0m9.514s
Fri Dec 16 15:27:08 EST 2016,0m7.435s
Fri Dec 16 15:34:08 EST 2016,0m7.367s
Fri Dec 16 15:46:08 EST 2016,0m7.404s
Fri Dec 16 15:58:08 EST 2016,0m7.331s
Fri Dec 16 16:04:09 EST 2016,0m7.757s
Fri Dec 16 16:12:09 EST 2016,0m7.357s
Fri Dec 16 16:27:08 EST 2016,0m7.306s
Fri Dec 16 16:34:08 EST 2016,0m7.511s
Fri Dec 16 16:46:08 EST 2016,0m7.436s
Fri Dec 16 16:58:08 EST 2016,0m7.395s
Fri Dec 16 17:04:09 EST 2016,0m7.403s
Fri Dec 16 17:12:08 EST 2016,0m7.473s
Fri Dec 16 17:27:09 EST 2016,0m7.255s
Fri Dec 16 17:34:08 EST 2016,0m7.468s
Fri Dec 16 17:46:09 EST 2016,0m7.339s
Fri Dec 16 17:58:08 EST 2016,0m7.306s
Fri Dec 16 18:04:09 EST 2016,0m7.446s
Fri Dec 16 18:12:08 EST 2016,0m7.339s
Fri Dec 16 18:27:08 EST 2016,0m7.303s
Fri Dec 16 18:34:09 EST 2016,0m7.415s
Fri Dec 16 18:46:08 EST 2016,0m7.394s
Fri Dec 16 18:58:09 EST 2016,0m7.294s
Fri Dec 16 19:04:08 EST 2016,0m7.434s
Fri Dec 16 19:12:08 EST 2016,0m7.333s
Fri Dec 16 19:27:08 EST 2016,0m7.663s
Fri Dec 16 19:34:09 EST 2016,0m7.457s
Fri Dec 16 19:46:08 EST 2016,0m7.399s
Fri Dec 16 19:58:09 EST 2016,0m7.363s
Fri Dec 16 20:04:08 EST 2016,0m7.316s
Fri Dec 16 20:12:08 EST 2016,0m7.347s
Fri Dec 16 20:27:09 EST 2016,0m7.305s
Fri Dec 16 20:34:08 EST 2016,0m7.365s
Fri Dec 16 20:46:08 EST 2016,0m7.309s
Fri Dec 16 20:58:09 EST 2016,0m7.306s
Fri Dec 16 21:04:08 EST 2016,0m7.420s
Fri Dec 16 21:12:09 EST 2016,0m7.282s
Fri Dec 16 21:27:08 EST 2016,0m7.286s
Fri Dec 16 21:34:08 EST 2016,0m7.322s
Fri Dec 16 21:46:25 EST 2016,0m23.467s
Fri Dec 16 21:58:08 EST 2016,0m7.307s
Fri Dec 16 22:04:09 EST 2016,0m7.373s
Fri Dec 16 22:12:08 EST 2016,0m7.300s
Fri Dec 16 22:27:09 EST 2016,0m7.760s
Fri Dec 16 22:34:08 EST 2016,0m7.559s
Fri Dec 16 22:46:09 EST 2016,0m7.431s
Fri Dec 16 22:58:08 EST 2016,0m7.320s
Fri Dec 16 23:04:09 EST 2016,0m7.258s
Fri Dec 16 23:12:08 EST 2016,0m7.429s
Fri Dec 16 23:27:09 EST 2016,0m8.199s
Fri Dec 16 23:34:09 EST 2016,0m7.386s
Fri Dec 16 23:46:08 EST 2016,0m7.327s
Fri Dec 16 23:58:09 EST 2016,0m7.284s
Sat Dec 17 00:04:08 EST 2016,0m7.271s
Sat Dec 17 00:12:08 EST 2016,0m7.125s
Sat Dec 17 00:27:08 EST 2016,0m7.348s
Sat Dec 17 00:34:09 EST 2016,0m7.157s
Sat Dec 17 00:46:08 EST 2016,0m7.327s
Sat Dec 17 00:58:08 EST 2016,0m7.288s
Sat Dec 17 01:04:09 EST 2016,0m7.345s
Sat Dec 17 01:12:08 EST 2016,0m7.215s
Sat Dec 17 01:27:08 EST 2016,0m7.168s
Sat Dec 17 01:34:09 EST 2016,0m7.456s
Sat Dec 17 01:46:08 EST 2016,0m7.231s
Sat Dec 17 01:58:08 EST 2016,0m7.283s
Sat Dec 17 02:04:09 EST 2016,0m7.172s
Sat Dec 17 02:12:08 EST 2016,0m7.238s
Sat Dec 17 02:27:08 EST 2016,0m7.147s
Sat Dec 17 02:35:54 EST 2016,1m53.326s
Sat Dec 17 02:46:09 EST 2016,0m7.106s
Sat Dec 17 02:58:08 EST 2016,0m7.097s
Sat Dec 17 03:04:08 EST 2016,0m7.073s
Sat Dec 17 03:12:08 EST 2016,0m7.063s
Sat Dec 17 03:27:08 EST 2016,0m7.146s
Sat Dec 17 03:34:08 EST 2016,0m6.997s
Sat Dec 17 03:46:08 EST 2016,0m7.128s
Sat Dec 17 03:58:09 EST 2016,0m7.245s
Sat Dec 17 04:04:08 EST 2016,0m7.032s
Sat Dec 17 04:12:08 EST 2016,0m7.105s
Sat Dec 17 04:27:08 EST 2016,0m7.255s
Sat Dec 17 04:34:08 EST 2016,0m7.101s
Sat Dec 17 04:46:09 EST 2016,0m7.240s
Sat Dec 17 04:58:08 EST 2016,0m7.109s
Sat Dec 17 05:04:08 EST 2016,0m7.055s
Sat Dec 17 05:12:08 EST 2016,0m7.075s
Sat Dec 17 05:27:08 EST 2016,0m7.142s
Sat Dec 17 05:34:09 EST 2016,0m7.247s
Sat Dec 17 05:46:08 EST 2016,0m7.116s
Sat Dec 17 05:58:08 EST 2016,0m7.135s
Sat Dec 17 06:04:08 EST 2016,0m7.091s
Sat Dec 17 06:12:08 EST 2016,0m7.209s
