time,total
Fri Dec 16 13:46:01 EST 2016,0m0.081s
Fri Dec 16 13:58:02 EST 2016,0m0.075s
Fri Dec 16 14:04:01 EST 2016,0m0.092s
Fri Dec 16 14:12:01 EST 2016,0m0.068s
Fri Dec 16 14:27:01 EST 2016,0m0.066s
Fri Dec 16 14:34:01 EST 2016,0m0.085s
Fri Dec 16 14:46:01 EST 2016,0m0.062s
Fri Dec 16 14:58:01 EST 2016,0m0.068s
Fri Dec 16 15:04:01 EST 2016,0m0.090s
Fri Dec 16 15:12:01 EST 2016,0m0.067s
Fri Dec 16 15:27:01 EST 2016,0m0.065s
Fri Dec 16 15:34:01 EST 2016,0m0.073s
Fri Dec 16 15:46:01 EST 2016,0m0.065s
Fri Dec 16 15:58:01 EST 2016,0m0.075s
Fri Dec 16 16:04:01 EST 2016,0m0.064s
Fri Dec 16 16:12:01 EST 2016,0m0.068s
Fri Dec 16 16:27:01 EST 2016,0m0.068s
Fri Dec 16 16:34:01 EST 2016,0m0.065s
Fri Dec 16 16:46:01 EST 2016,0m0.052s
Fri Dec 16 16:58:01 EST 2016,0m0.076s
Fri Dec 16 17:04:02 EST 2016,0m0.083s
Fri Dec 16 17:12:01 EST 2016,0m0.074s
Fri Dec 16 17:27:02 EST 2016,0m0.055s
Fri Dec 16 17:34:01 EST 2016,0m0.069s
Fri Dec 16 17:46:01 EST 2016,0m0.079s
Fri Dec 16 17:58:01 EST 2016,0m0.061s
Fri Dec 16 18:04:01 EST 2016,0m0.084s
Fri Dec 16 18:12:01 EST 2016,0m0.084s
Fri Dec 16 18:27:01 EST 2016,0m0.062s
Fri Dec 16 18:34:01 EST 2016,0m0.063s
Fri Dec 16 18:46:01 EST 2016,0m0.069s
Fri Dec 16 18:58:01 EST 2016,0m0.066s
Fri Dec 16 19:04:01 EST 2016,0m0.069s
Fri Dec 16 19:12:01 EST 2016,0m0.071s
Fri Dec 16 19:27:01 EST 2016,0m0.068s
Fri Dec 16 19:34:01 EST 2016,0m0.064s
Fri Dec 16 19:46:01 EST 2016,0m0.071s
Fri Dec 16 19:58:01 EST 2016,0m0.064s
Fri Dec 16 20:04:01 EST 2016,0m0.067s
Fri Dec 16 20:12:01 EST 2016,0m0.048s
Fri Dec 16 20:27:01 EST 2016,0m0.093s
Fri Dec 16 20:34:01 EST 2016,0m0.063s
Fri Dec 16 20:46:01 EST 2016,0m0.071s
